pdb,Hchain,Lchain,antigen_chain,antigen_type,resolution,r_free,r_factor
8acf,H,L,A,protein,1.8,0.199,0.178
8aci,H,L,A,protein,1.85,0.199,0.187
7y3o,H,L,A,protein,2.1,0.229,0.183
8g4p,C,D,E,protein,2.25,0.218,0.189
8ek5,E,e,A | C,protein | peptide,2.11,0.212,0.181
8bk2,H,L,A,protein,2.41,0.27,0.204
8trs,A,G,D,protein,1.9,0.214,0.18
8x0t,H,L,A,protein,2.5,0.29,0.238
8w86,A,B,C | D,protein | protein,2.236,0.28,0.241
8bg2,A,a,B,protein,2.1,0.227,0.189
8bg3,A,a,B,protein,1.9,0.214,0.185
8bg4,A,a,B,protein,1.6,0.208,0.195
8bg5,A,a,B,protein,2.05,0.217,0.196
8hes,H,L,C,protein,2.2,0.241,0.196
8bec,A,a,B,protein,1.7,0.207,0.185
8oxv,B,C,A,protein,1.8,0.229,0.185
8oxw,B,C,A,protein,1.7,0.21,0.172
8oxx,B,C,A,protein,2.5,0.222,0.154
8oxy,B,C,A,protein,2.0,0.226,0.176
8f5i,H,L,B,protein,1.9,0.245,0.211
8fdo,A,B,C,protein,2.2,0.229,0.189
8gy5,A,B,Q,protein,1.98,0.236,0.187
8gye,E,F,A,protein,2.3,0.277,0.222
8szy,A,B,T,protein,2.31,0.269,0.227
8ezk,H,h,A,protein,2.3,0.26,0.229
8ezl,H,h,A,protein,2.3,0.255,0.216
8ezm,H,h,A,protein,2.1,0.237,0.205
8aon,B,C,A,protein,2.1,0.259,0.198
5xj4,H,L,A,protein,2.3,0.24,0.216
4ffy,H,L,A,protein,2.5,0.229,0.174
7yv1,H,L,A,protein,1.454,0.277,0.238
7yds,B,C,A,protein,2.3,0.246,0.194
8byu,H,L,A,protein,1.85,0.23,0.188
8ivx,H,L,A,protein,1.9,0.225,0.191
8elq,H,L,A,protein,2.21,0.285,0.234
7zoz,H,L,A,protein,2.104,0.218,0.176
8d9y,B,A,I,protein,2.2,0.262,0.209
8d9z,B,A,D,protein,1.8,0.198,0.165
8da0,B,A,E,protein,2.2,0.249,0.196
8a44,C,D,A,protein,2.49,0.225,0.196
8slb,H,L,A,protein,2.04,0.218,0.166
8ahn,H,L,A,protein,1.8,0.221,0.19
8av9,H,L,A,protein,1.99,0.272,0.223
8cwi,H,L,A,protein,1.873,0.205,0.17
8cwj,H,L,G,protein,2.449,0.23,0.196
8cwk,H,L,C,protein,2.368,0.223,0.186
8f60,A,B,C,protein,1.64,0.205,0.181
8f6l,A,B,C,protein,1.85,0.24,0.198
8f6o,A,B,C,protein,2.31,0.266,0.215
8gb6,H,L,A,protein,1.75,0.221,0.182
8gb8,H,L,E,protein,2.3,0.228,0.2
7st5,H,L,A,protein,2.2,0.28,0.245
8bse,H,L,A,protein,1.9,0.216,0.177
8bsf,H,L,A,protein,2.2,0.229,0.196
8dn7,D,H,E,protein,2.0,0.259,0.211
8hn6,A,B,E,protein,2.07,0.214,0.192
7xrz,H,L,X,protein,2.1,0.268,0.214
7xsa,B,C,E,protein,2.2,0.283,0.231
8dy5,A,a,C,protein,2.2,0.232,0.188
7wn2,H,L,R,protein,2.35,0.279,0.228
7wnb,H,L,R,protein,2.18,0.281,0.245
8dp3,H,L,R,nucleic-acid,1.91,0.259,0.209
8i5h,H,L,R,protein,2.38,0.23,0.188
7txw,H,L,A,protein,2.17,0.23,0.177
8dcm,A,B,C,protein,2.5,0.227,0.198
4edw,H,L,V,protein,2.48,0.249,0.2
8dk6,H,L,E,protein,2.45,0.232,0.203
7u8e,H,L,A,protein,2.29,0.248,0.204
4q9q,H,L,R,nucleic-acid,2.45,0.221,0.182
7mlx,H,L,R,nucleic-acid,2.09,0.231,0.199
7wsl,H,L,D,protein,1.534,0.178,0.161
7s5r,H,L,A,protein,2.45,0.238,0.207
7ul0,H,L,A,protein,2.49,0.256,0.225
7x63,H,L,R,protein,2.24,0.224,0.193
7x66,H,L,R,protein,2.4,0.238,0.19
8f5n,H,L,A,protein,1.9,0.244,0.202
8ffe,H,L,A,protein,1.72,0.231,0.185
7x2h,A,B,E,protein,2.1,0.269,0.228
7u9e,B,b,A,protein,2.39,0.269,0.225
7ua2,B,b,A,protein,2.19,0.256,0.222
7ubs,H,h,A,protein,2.5,0.25,0.209
7ucq,H,h,A,protein,2.5,0.248,0.204
7ufw,H,h,A,protein,2.1,0.213,0.19
7uvo,A,B,C,protein,2.09,0.235,0.217
7uvs,A,B,C,protein,2.06,0.215,0.174
7pa6,K,k,A,protein,1.9,0.216,0.184
7z2m,B,A,K,protein,1.899,0.227,0.201
7x8p,C,B,A,protein,2.24,0.241,0.216
7ycl,A,B,R,protein,2.13,0.218,0.174
7yxu,H,L,A,protein,2.31,0.252,0.205
8be1,A,B,C,protein,1.98,0.284,0.248
8db4,A,B,E,protein,2.3,0.246,0.211
8dxt,H,L,R,protein,2.25,0.254,0.211
7uzc,E,F,B,protein,2.2,0.243,0.172
7ox1,A,B,G,protein,2.49,0.262,0.209
7ox3,A,B,C,protein,1.7,0.211,0.176
7ox4,A,B,C,protein,1.8,0.229,0.183
